file_name	actual_word	tes_normal	tes_char_segmentation	
0.PNG	18	18	l8	
1.PNG	Notices	Non’cu	Nonctx	
2.PNG	All	All	All	
3.PNG	notices	notices.	notices‘	
4.PNG	requests	requests.	requests	
5.PNG	demands	dcmandg	(icnlandg	
6.PNG	and	and	and	
7.PNG	other	other	other	
8.PNG	communications	communicalions	communicalions	
9.PNG	required	required	required	
10.PNG	or	0f	Ol'	
11.PNG	permitted	permitted	pctnlilled	
12.PNG	hereunder	hereunder»	hereunder	
14.PNG	be	.	.	
15.PNG	in	NONE	NONE	
16.PNG	writing	yﬁling	furiling	
17.PNG	and	ahd	ahd	
18.PNG	shall	shall	shall	
19.PNG	be	b:	be	
20.PNG	deemed	dccmed	dccmed	
21.PNG	to	{0	{0	
22.PNG	have	have	have	
23.PNG	been	bccn	bccn	
24.PNG	duly	duly	duly	
25.PNG	given	giycn	given	
26.PNG	when	when	when	
27.PNG	delivered	delivered	delivered	
28.PNG	by	by	by	
29.PNG	hand	hand	hand	
30.PNG	or	Of	Of	
31.PNG	when	when	when	
32.PNG	mailed	mailed	mailed	
33.PNG	by	by	by	
34.PNG	certified	uniﬁed	uniﬁed	
35.PNG	registered	rergislercd	registered	
36.PNG	mail	mail	mail	
37.PNG	return	felurn	felurn	
38.PNG	receipt	xeuipl	teuipl	
39.PNG	requested	requcslcd.	requested‘	
40.PNG	with	whh	th	
41.PNG	postage	postage	postage	
42.PNG	prepaid	pfepaid	piepaid	
43.PNG	Attached	Annohcd	Annclml	
44.PNG	hereto	hereto	llclctu	
45.PNG	as	[13	IE	
46.PNG	Exhibit	Exhibit	Hxllihit	
47.PNG	1	1	i	
48.PNG	are	“f0	[He	
49.PNG	the	(ha	(m:	
50.PNG	Standard	Slandard	SIIuHInHI	
51.PNG	Terms	Tums	‘I'eunls	
52.PNG	and	mld	nlul	
53.PNG	Conditions	Cundiﬂgls	Cum|iliqus	
54.PNG	and	and	and	
55.PNG	Rider	Nder	Ride:	
56.PNG	to	l0	k)	
57.PNG	Exhibit	ﬁxlllplt	IHIIHIIE	
58.PNG	1	l	l	
59.PNG	governing	gwejnfns	@ygngg	
60.PNG	the	(he	[he	
61.PNG	license	[lcensc	license	
62.PNG	granted	gunned	glllil|ctl	
63.PNG	by	by	by	
64.PNG	Licensor	Llccnsor	ltlccnsor	
65.PNG	to	lo	Io	
66.PNG	Licensee	Licensee	Licensee	
67.PNG	hereunder	hcrgngndcr.	llcrgundcr.	
68.PNG	Attached	Allgthd	Allghcd	
69.PNG	hereto	llcrcln	hcxdn	
70.PNG	as	,	,	
71.PNG	Exhibit	Bxhlbll	Bxhlbll	
72.PNG	2	2	2	
73.PNG	are	IIIG	illc	
74.PNG	Additional	Auduiiéﬁ‘m‘	Alldlilélﬁﬂl	
75.PNG	Terms	Tenn:	‘l‘ulns	
76.PNG	and	and	nlxl	
77.PNG	Conditions	Cnndillons	(bullilluns	
78.PNG	of	uf'	ni'	
79.PNG	Stand-Alone	'Smnd-Alouc	‘Sund-Aloua	
80.PNG	SVOD	SVOD	SVHI)	
81.PNG	License	Llcvcnsc	[,lEcnsc	
82.PNG	Agreement	Agreement	Agrcclncnt	
83.PNG	governing	3'?‘.’.‘“!‘"§	gfycxlzlnq	
84.PNG	the	Ihe‘	Ille	
